PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-5.0,64.0,39.0,23.0,0.0,,,2048.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.9,64.22583854345586,40.184829955341804,23.430125729989694,0.0,,,2048.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.8,64.4344513912745,40.89977327378909,23.600167639986264,0.0,,,2048.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.7,64.63014496736515,41.22230161456545,23.555146684987978,0.0,,,2048.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.6,64.81722569563723,41.22988663689454,23.34008381999313,0.0,,,2048.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.5,65.0,41.0,23.0,0.0,,,1984.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.4,65.18277430436277,40.61011336310547,22.57991618000687,0.0,,,1984.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.3,65.36985503263483,40.137698385434554,22.12485331501202,0.0,,,1984.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.2,65.56554860872552,39.66022672621092,21.67983236001374,0.0,,,1984.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.1,65.77416145654414,39.25517004465819,21.2898742700103,0.0,,,1984.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-4.0,66.0,39.0,21.0,0.0,,,1856.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.9,66.2430642390931,38.95071659223635,20.842209549982822,0.0,,,1856.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.8,66.4861284781862,39.077433184472696,20.79641909996565,0.0,,,1856.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.7,66.70766059773274,39.328791480590866,20.82952387495706,0.0,,,1856.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.6,66.8861284781862,39.65343318447269,20.908419099965645,0.0,,,1856.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.5,67.0,40.0,20.999999999999996,0.0,,,1792.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.4,67.03696873926485,40.32302026794917,21.075245620061835,0.0,,,1792.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.3,67.02163105462043,40.600568876674686,21.121470285125387,0.0,,,1792.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.2,66.98780900034353,40.81660735142563,21.130072140158024,0.0,,,1792.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.1,66.9693246307111,40.955097217451055,21.092449330127106,0.0,,,1792.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-3.0,67.0,41.0,21.0,0.0,,,1728.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.9,67.10506080384748,40.94120233596703,20.848807969769844,0.0,,,1728.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.8,67.2753473033322,40.79229130882858,20.65369975953281,0.0,,,1728.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.7,67.49310340089318,40.57277911370663,20.434187564410855,0.0,,,1728.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.6,67.74057299896945,40.30217794572312,20.209783579525936,0.0,,,1728.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.5,68.0,40.0,20.0,0.0,,,1664.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.4,68.25478804534526,39.680170388182766,19.81752250085881,0.0,,,1664.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.3,68.49297973205086,39.334265888011,19.647730676743386,0.0,,,1664.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
-2.2,68.70377739608384,38.94827619374786,19.46917760219856,0.0,,,1664.0,,2300007,2,3.0,69.0,14.0,-7.0,12.0,1.0,2.0,1.0,2020,2023,CISS_2023_2300007_V2,CISS,True
