CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,Series2,Trim2,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,DestinationMarketId,DestinationMarket,BasePrice,Note,BodyClassId,BodyClass,DoorsCount,Windows,WheelBaseTypeId,WheelBaseType,TrackWidthIN,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,GrossCombWeightRatingFromId,GrossCombWeightRatingFrom,GrossCombWeightRatingToId,GrossCombWeightRatingTo,CurbWeightLB,WheelBaseIN_from,WheelBaseIN_to,WheelsCount,WheelSizeFrontIN,WheelSizeRearIN,TruckBodyCabTypeId,TruckBodyCabType,TruckBedTypeId,TruckBedType,TruckBedLengthIN,BusTypeId,BusType,BusFloorConfigurationTypeId,BusFloorConfigurationType,BusLengthFT,OtherBusInfo,CustomMotorcycleTypeId,CustomMotorcycleType,MotorcycleSuspensionTypeId,MotorcycleSuspensionType,MotorcycleChassisTypeId,MotorcycleChassisType,OtherMotorcycleInfo,SteeringLocationId,SteeringLocation,EntertainmentSystemId,EntertainmentSystem,SeatsCount,SeatRowsCount,TransmissionSpeeds,TransmissionStyleId,TransmissionStyle,DriveTypeId,DriveType,AxlesCount,AxleConfigurationId,AxleConfiguration,BrakeSystemTypeId,BrakeSystemType,BrakeSystemDesc,EVDriveUnitId,EVDriveUnit,BatteryKWh_from,BatteryKWh_to,BatteryV_from,BatteryV_to,BatteryA_from,BatteryA_to,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryTypeId,BatteryType,OtherBatteryInfo,ChargerLevelId,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineModel,EngineConfigurationId,EngineConfiguration,EnginePowerKW,EngineStrokeCycles,EngineCylindersCount,EngineBrakeHP_from,EngineBrakeHP_to,EngineCoolingTypeId,EngineCoolingType,DisplacementCI,DisplacementCC,DisplacementL,FuelTypePrimaryId,FuelTypePrimary,FuelTypeSecondaryId,FuelTypeSecondary,FuelDeliveryInjectionTypeId,FuelDeliveryInjectionType,EngineValveTrainDesignId,EngineValveTrainDesign,EngineElectrificationLevelId,EngineElectrificationLevel,EngineTurboId,EngineTurbo,TopSpeedMPH,OtherEngineInfo,SeatBeltTypeId,SeatBeltType,PretensionerId,Pretensioner,AirBagLocFrontId,AirBagLocFront,AirBagLocKneeId,AirBagLocKnee,AirBagLocSideId,AirBagLocSide,AirBagLocCurtainId,AirBagLocCurtain,AirBagLocSeatCushionId,AirBagLocSeatCushion,OtherRestraintSystemInfo,ForwardCollisionWarningId,ForwardCollisionWarning,DynamicBrakeSupportId,DynamicBrakeSupport,CrashImminentBrakingID,CrashImminentBraking,PedestrianAutoEmergencyBrakingID,PedestrianAutoEmergencyBraking,BlindSpotWarningId,BlindSpotWarning,BlindSpotInterventionId,BlindSpotIntervention,LaneDepartureWarningId,LaneDepartureWarning,LaneKeepingAssistanceID,LaneKeepingAssistance,LaneCenteringAssistanceID,LaneCenteringAssistance,BackupCameraID,BackupCamera,RearCrossTrafficAlertID,RearCrossTrafficAlert,RearAutomaticEmergencyBrakingID,RearAutomaticEmergencyBraking,ParkAssistId,ParkAssist,DaytimeRunningLightId,DaytimeRunningLight,HeadlampLightSourceID,HeadlampLightSource,SemiAutoHeadlampBeamSwitchingID,SemiAutoHeadlampBeamSwitching,AdaptiveDrivingBeamId,AdaptiveDrivingBeam,AdaptiveCruiseControlId,AdaptiveCruiseControl,AntilockBrakeSystemId,AntilockBrakeSystem,ElectronicStabilityControlId,ElectronicStabilityControl,TPMSId,TPMS,AutomaticCrashNotificationId,AutomaticCrashNotification,EventDataRecorderId,EventDataRecorder,TractionControlId,TractionControl,AutoPedestrianAlertingSoundID,AutoPedestrianAlertingSound,KeylessIgnitionId,KeylessIgnition,SAEAutomationLevel_from,SAEAutomationLevel_to,AutoReverseSystemId,AutoReverseSystem,ActiveSafetySysNote,CASEWGT,PSUSTRAT,VERSION
16035,52,2,1-52-2020-002-07,7,1,2FMHK6DC*AB******,14OCT2021:05:06:19.637,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),977,"FORD MOTOR COMPANY OF CANADA, LTD.",460,FORD,1802,Flex,2010,Limited,,,,1,CANADA,ONTARIO,OAKVILLE,Oakville,,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,14,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,3,AWD/All-Wheel Drive,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,,Ford,2,V-Shaped,195.370,,6,262.0000,,,,213.58,3500.000,3.500000,4,Gasoline,,,,,,,,,,,,Displacement is 3.5L 4V.,1,Manual,,,3,1st Row (Driver and Passenger),,,5,1st and 2nd and 3rd Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,64.6514303921208,12,5
16035,52,2,1-52-2020-002-07,7,2,5TFUX4EN*CX******,14OCT2021:05:07:14.743,0,3,TRUCK,1090,"TOYOTA MOTOR MANUFACTURING, TEXAS, INC.",448,TOYOTA,2223,Tacoma,2012,TRN240L/TRN245L/GRN245L,,,,6,UNITED STATES (USA),TEXAS,,"Toyota Motor Manufacturing, Texas, Inc",,,,,60,Pickup,,,,,,1,"Class 1: 6,000 lb or less (2,722 kg or less)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,2,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,,,,,,,,,,,,,2TR-FE,1,In-Line,118.570,,4,159.0000,,,,164.76,2700.000,2.700000,4,Gasoline,,,3,Multipoint Fuel Injection (MPFI),,,,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),6,All Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6514303921208,12,5
16037,66,1,1-66-2020-001-10,10,1,2GCEK13T*51******,14OCT2021:05:07:14.883,0,3,TRUCK,984,GENERAL MOTORS LLC,467,CHEVROLET,1850,Silverado,2005,1500 (1/2 Ton),,,,1,CANADA,ONTARIO,OSHAWA TRUCK,NA-Canada - Truck,,,,,60,Pickup,4,,,,,14,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,4,Crew/ Super Crew/ Crew Max,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,2,4WD/4-Wheel Drive/4x4,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,,LM7,2,V-Shaped,,,8,,,,,323.43,5300.000,5.300000,,,,,3,Multipoint Fuel Injection (MPFI),,,,,,,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758.56541926545,6,5
16038,16,1,1-16-2020-001-09,9,1,2G4WS52J*31******,14OCT2021:05:06:57.020,0,2,PASSENGER CAR,984,GENERAL MOTORS LLC,468,BUICK,8843,Century,2003,Custom,,,,1,CANADA,ONTARIO,OSHAWA #2,NA,,,,,13,Sedan/Saloon,4,4,,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG8,2,V-Shaped,,,6,,,,,189.17,3100.000,3.100000,,,,,4,Sequential Fuel Injection (SFI),,,,,,,,Name Plate: Buick,1,Manual,,,3,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592.56743781621,5,5
16038,16,1,1-16-2020-001-09,9,2,2G1WT57K*91******,14OCT2021:05:07:14.977,0,2,PASSENGER CAR,984,GENERAL MOTORS LLC,467,CHEVROLET,1833,Impala,2009,1LT 3.5L,,,,1,CANADA,ONTARIO,OSHAWA #2,,,,,,13,Sedan/Saloon,4,,,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM,LZE,2,V-Shaped,,,6,,,,,213.58,3500.000,3.500000,15,Flexible Fuel Vehicle (FFV),,,4,Sequential Fuel Injection (SFI),3,Overhead Valve (OHV),,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),,,,,Driver and Passenger Roof Airbags and Occupant Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,2592.56743781621,5,5
16048,19,3,1-19-2020-003-08,8,1,3VWSE69M*5M******,14OCT2021:05:07:15.327,0,2,PASSENGER CAR,1147,"VOLKSWAGEN GROUP OF AMERICA, INC.",482,VOLKSWAGEN,3137,Jetta,2005,GLS / GLI,,,,12,MEXICO,,PUEBLA,,,,,,13,Sedan/Saloon,4,,,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen,,,,134.230,,4,180.0000,,,,108.68,1781.000,1.781000,4,Gasoline,,,,,,,,,,,,50-St./Can. BIN 8/BIN 8 emission.   Emissions Certification Test Group: 5ADXV01.8356,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),3,1st Row (Driver and Passenger),,,Active Seat Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.310796222892,9,5
16052,26,3,1-26-2020-003-09,9,1,1N4AL11D*6N******,14OCT2021:05:06:38.860,0,2,PASSENGER CAR,997,"NISSAN NORTH AMERICA, INC",478,NISSAN,1904,Altima,2006,,,,,6,UNITED STATES (USA),,,Canton Plant,,,,,13,Sedan/Saloon,4,,,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,7,4x2,,,,,,,,,,,,,,,,,,,,,,,,Nissan,QR25DE,1,In-Line,,,4,,,2,Water,152.56,2500.000,2.500000,4,Gasoline,,,,,2,Dual Overhead Cam (DOHC),,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.72047005187,10,5
16065,25,1,1-25-2020-001-07,7,1,5TEWN72N*2Z******,14OCT2021:05:06:39.640,0,3,TRUCK,1063,"TOYOTA MOTOR MANUFACTURING, CALIFORNIA, INC.",448,TOYOTA,2223,Tacoma,2002,RZN171L/VZN170L,DELUXE,,,6,UNITED STATES (USA),CALIFORNIA,FREMONT,TABC Inc.,,,,Extra Cab,60,Pickup,,,4,Extra Long,,13,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,2,Extra/Super/ Quad/Double/King/Extended,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,2,4WD/4-Wheel Drive/4x4,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,Toyota,5VZ-FE,2,V-Shaped,141.680,,6,190.0000,190.0000,2,Water,207.48,3378.000,3.400000,4,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.06567324114,2,5
16073,15,2,1-15-2020-002-04,4,1,1N6BD0CT*GN******,14OCT2021:05:07:16.153,0,3,TRUCK,997,"NISSAN NORTH AMERICA, INC",478,NISSAN,1919,Frontier,2016,,,,,6,UNITED STATES (USA),MISSISSIPPI,CANTON,Nissan North America Inc.,,,,Model Change Number Code,60,Pickup,,,,,,12,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,2,Extra/Super/ Quad/Double/King/Extended,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,7,4x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.350,,4,152.0000,,,,152.56,2500.000,2.500000,4,Gasoline,,,,,,,,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),4,1st and 2nd Rows,,,2nd row outboard 3-point manual belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Standard,,,,,,,,,,,,,,,,,,,,90.4349871295391,1,5
16073,15,2,1-15-2020-002-04,4,2,1C4BJWDG*GL******,14OCT2021:05:06:20.497,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),994,FCA US LLC,483,JEEP,1943,Wrangler,2016,JK,Sport,,,6,UNITED STATES (USA),OHIO,TOLEDO,Toledo Supplier Park,,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,13,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,1,Left-Hand Drive (LHD),,,,,,,,2,4WD/4-Wheel Drive/4x4,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,219.69,3600.000,3.600000,4,Gasoline,,,,,,,,,2,No,,"Sales Code : ERB,ERC,ERT",1,Manual,,,3,1st Row (Driver and Passenger),,,,,,,,,Active Seat Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,90.4349871295391,1,5
