CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-2.0000,600.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-1.5000,28.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-1.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-1.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,-1.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,-1.5000,15.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-1.5000,800.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-1.0000,28.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-1.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-1.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,-1.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,-1.0000,85.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-1.0000,1000.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-0.5000,31.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-0.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-0.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,-0.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,-0.5000,130.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-0.5000,1100.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,0.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,0.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,0.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,0.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,0.0000,45.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,0.0000,1200.0000,30.7980431661218,12,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-5.0000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.9000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.8000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.7000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.6000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.5000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.4000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.3000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.2000,90.0000,353.331729164077,9,4
