PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-4.8,134.542868936682,99996.0,0.0,-0.034957370200312705,,,6100.0,0.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.7,145.29418042612903,99996.0,0.0,-0.04078359856703172,,,6100.0,0.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.6,144.09500000000003,99996.0,0.0,6.938893903907228e-18,,,7100.0,-13.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.5,136.327019573871,99996.00000000001,0.0,0.040783598567031516,,,7100.0,-13.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.4,127.37193106331804,99996.00000000003,0.0,0.0349573702003131,,,7100.0,-13.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.3,122.41785089447005,99995.99999999999,0.0,-0.05826228366718772,,,5700.0,-28.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.2,122.20065923617514,99996.0,0.0,-0.14565570916796988,,,5700.0,-28.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.1,123.004,99996.0,0.0,-5.551115123125783e-17,,,6100.0,0.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-4.0,122.02218127036862,99996.0,0.0,0.4893146707704701,,,6100.0,0.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.9,120.86646978092159,99996.0,0.0,0.9431408991371898,,,6100.0,0.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.8,122.09733158589871,99996.0,0.0,0.8832853988596816,,,4800.0,67.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.7,124.70930488032285,99996.00000000001,0.0,0.36960367021545687,,,4800.0,67.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.6,124.131,99996.00000000001,0.0,0.0,,,5700.0,-28.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.5,117.71044621128954,99996.0,0.0,0.21762179221956823,,,5700.0,-28.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.4,111.09350986958448,99996.00000000001,0.0,0.7530152177203506,,,5700.0,-28.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.3,111.63095130811203,99996.0,0.0,1.1682578677027462,,,4300.0,7.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.2,118.17352908834465,99996.00000000003,0.0,1.2481070921843596,,,4300.0,7.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.1,121.07199999999999,99996.0,0.0,0.9999999999999998,,,4800.0,67.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-3.0,113.79435368768512,99996.00000000001,0.0,0.5013904203034774,,,4800.0,67.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.9,103.75577239326098,99996.00000000001,0.0,0.07107214894770363,,,4800.0,67.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.8,101.41047472766955,99996.00000000001,0.0,0.0723247489787523,,,3500.0,-76.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.7,106.91415835650224,99996.00000000003,0.0,0.5038956203655726,,,3500.0,-76.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.6,110.124,99996.0,0.0,1.0,,,4300.0,7.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.5,103.93393741630182,99996.00000000001,0.0,1.2418440920291216,,,4300.0,7.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.4,95.17599963606918,99996.00000000003,0.0,1.1619948675475071,,,4300.0,7.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.3,93.72231887926159,99996.00000000001,0.0,0.7642886179997767,,,3300.0,-144.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.2,99.22337590268661,99996.00000000003,0.0,0.2464315929336628,,,3300.0,-144.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.1,101.108,99996.0,0.0,-5.551115123125783e-17,,,3500.0,-76.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-2.0,92.34838614054024,99996.00000000001,0.0,0.28442686810422096,,,3500.0,-76.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-1.9,81.86787051170754,99996.00000000001,0.0,0.7968559967174,,,3500.0,-76.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-1.8,81.96834158199258,99996.00000000003,0.0,1.107715903018139,,,2800.0,-373.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-1.7,90.93932828111028,99996.00000000001,0.0,1.1061466807056997,,,2800.0,-373.5,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
-1.6,93.058,99996.0,0.0,1.0,,,3300.0,-144.0,12419,1,1.0,7.0,19.0,0.0,-19.0,1.0,3.0,1.0,2017,2019,CISS_2019_12419_V1,CISS,True
