CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,Series2,Trim2,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,DestinationMarketId,DestinationMarket,BasePrice,Note,BodyClassId,BodyClass,DoorsCount,Windows,WheelBaseTypeId,WheelBaseType,TrackWidthIN,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,GrossCombWeightRatingFromId,GrossCombWeightRatingFrom,GrossCombWeightRatingToId,GrossCombWeightRatingTo,CurbWeightLB,WheelBaseIN_from,WheelBaseIN_to,WheelsCount,WheelSizeFrontIN,WheelSizeRearIN,TruckBodyCabTypeId,TruckBodyCabType,TruckBedTypeId,TruckBedType,TruckBedLengthIN,BusTypeId,BusType,BusFloorConfigurationTypeId,BusFloorConfigurationType,BusLengthFT,OtherBusInfo,CustomMotorcycleTypeId,CustomMotorcycleType,MotorcycleSuspensionTypeId,MotorcycleSuspensionType,MotorcycleChassisTypeId,MotorcycleChassisType,OtherMotorcycleInfo,SteeringLocationId,SteeringLocation,EntertainmentSystemId,EntertainmentSystem,SeatsCount,SeatRowsCount,TransmissionSpeeds,TransmissionStyleId,TransmissionStyle,DriveTypeId,DriveType,AxlesCount,AxleConfigurationId,AxleConfiguration,BrakeSystemTypeId,BrakeSystemType,BrakeSystemDesc,EVDriveUnitId,EVDriveUnit,BatteryKWh_from,BatteryKWh_to,BatteryV_from,BatteryV_to,BatteryA_from,BatteryA_to,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryTypeId,BatteryType,OtherBatteryInfo,ChargerLevelId,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineModel,EngineConfigurationId,EngineConfiguration,EnginePowerKW,EngineStrokeCycles,EngineCylindersCount,EngineBrakeHP_from,EngineBrakeHP_to,EngineCoolingTypeId,EngineCoolingType,DisplacementCI,DisplacementCC,DisplacementL,FuelTypePrimaryId,FuelTypePrimary,FuelTypeSecondaryId,FuelTypeSecondary,FuelDeliveryInjectionTypeId,FuelDeliveryInjectionType,EngineValveTrainDesignId,EngineValveTrainDesign,EngineElectrificationLevelId,EngineElectrificationLevel,EngineTurboId,EngineTurbo,TopSpeedMPH,OtherEngineInfo,SeatBeltTypeId,SeatBeltType,PretensionerId,Pretensioner,AirBagLocFrontId,AirBagLocFront,AirBagLocKneeId,AirBagLocKnee,AirBagLocSideId,AirBagLocSide,AirBagLocCurtainId,AirBagLocCurtain,AirBagLocSeatCushionId,AirBagLocSeatCushion,OtherRestraintSystemInfo,ForwardCollisionWarningId,ForwardCollisionWarning,DynamicBrakeSupportId,DynamicBrakeSupport,CrashImminentBrakingID,CrashImminentBraking,PedestrianAutoEmergencyBrakingID,PedestrianAutoEmergencyBraking,BlindSpotWarningId,BlindSpotWarning,BlindSpotInterventionId,BlindSpotIntervention,LaneDepartureWarningId,LaneDepartureWarning,LaneKeepingAssistanceID,LaneKeepingAssistance,LaneCenteringAssistanceID,LaneCenteringAssistance,BackupCameraID,BackupCamera,RearCrossTrafficAlertID,RearCrossTrafficAlert,RearAutomaticEmergencyBrakingID,RearAutomaticEmergencyBraking,ParkAssistId,ParkAssist,DaytimeRunningLightId,DaytimeRunningLight,HeadlampLightSourceID,HeadlampLightSource,SemiAutoHeadlampBeamSwitchingID,SemiAutoHeadlampBeamSwitching,AdaptiveDrivingBeamId,AdaptiveDrivingBeam,AdaptiveCruiseControlId,AdaptiveCruiseControl,AntilockBrakeSystemId,AntilockBrakeSystem,ElectronicStabilityControlId,ElectronicStabilityControl,TPMSId,TPMS,AutomaticCrashNotificationId,AutomaticCrashNotification,EventDataRecorderId,EventDataRecorder,TractionControlId,TractionControl,AutoPedestrianAlertingSoundID,AutoPedestrianAlertingSound,KeylessIgnitionId,KeylessIgnition,SAEAutomationLevel_from,SAEAutomationLevel_to,AutoReverseSystemId,AutoReverseSystem,ActiveSafetySysNote,CASEWGT,PSUSTRAT,VERSION
24630,54,5,1-54-2022-005-10,10,1,1G1ZG5E7*CF******,04OCT2023:07:27:26.617,0,2,PASSENGER CAR,984,GENERAL MOTORS LLC,467,CHEVROLET,1834,Malibu,2012,,2LZ,,,6,UNITED STATES (USA),KANSAS,KANSAS CITY,Fairfax Assembly,,,,,13,Sedan/Saloon,4,,,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM,LY7,2,V-Shaped,,,6,,,2,Water,219.69,3600.000,3.600000,4,Gasoline,,,4,Sequential Fuel Injection (SFI),2,Dual Overhead Cam (DOHC),,,,,,"Book Code: 3Z, Engine Gas, V6, ALUM, 60 Degrees",1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),6,All Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.3069321,9,7
24632,17,4,1-17-2022-004-10,10,1,5FNRL387*7B******,04OCT2023:07:27:27.340,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),988,"AMERICAN HONDA MOTOR CO., INC.",474,HONDA,1869,Odyssey,2007,,EX with leather (With RES),,,6,UNITED STATES (USA),ALABAMA,LINCOLN,,,,,,2,Minivan,5,,,,,13,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,1,Rear Entertainment System,,,5,2,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,Honda,J35A7,2,V-Shaped,181.950,,6,244.0000,,2,Water,214.00,3471.000,3.500000,4,Gasoline,4,Gasoline,,,4,Single Overhead Cam (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,1006.177319,4,7
24637,19,14,1-19-2022-014-06,6,2,1C6RR7XT*GS******,04OCT2023:07:27:29.290,0,3,TRUCK,994,FCA US LLC,496,RAM,13620,1500,2016,Single Rear Wheels,SSV,,,6,UNITED STATES (USA),MICHIGAN,WARREN,Warren Truck Assembly,,,,,60,Pickup,,,,,,14,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,4,Crew/Super Crew/Crew Max,2,Short,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,1,Left-Hand Drive (LHD),,,,,,,,2,4WD/4-Wheel Drive/4x4,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,347.84,5700.000,5.700000,4,Gasoline,,,,,,,,,2,No,,"Sales Code : EZC,EZH",1,Manual,,,3,1st Row (Driver and Passenger),,,6,All Rows,,,,,Active Seat Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,156.2577963,9,7
24638,11,3,1-11-2022-003-06,6,2,5N1AR2MM*DC******,04OCT2023:07:27:29.620,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),997,"NISSAN NORTH AMERICA, INC.",478,NISSAN,1911,Pathfinder,2013,,,Wagon body style,,6,UNITED STATES (USA),TENNESSEE,SMYRNA,Smyrna Plant,,,,,8,Crossover Utility Vehicle (CUV),4,,,,,13,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,4,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.58,3500.000,3.500000,4,Gasoline,,,,,,,,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),5,1st and 2nd and 3rd Rows,,,3rd row outboard 3-point manual belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Standard,,,1,Direct,,,,,,,,,,,,,,,,2831.781528,8,7
24645,13,9,1-13-2022-009-01,1,1,JTLZE4FE*A1******,04OCT2023:07:27:32.377,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),1057,TOYOTA MOTOR CORPORATION,448,TOYOTA,2210,SCION xB,2010,AZE151L,N,Wagon body style,,3,JAPAN,IWATE,KANEGASAKI,"Kanto Auto Works, LTD.",,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,,,,,1,"Class 1: 6,000 lb or less (2,722 kg or less)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,7,4x2,,,,,,,,,,,,,,,,,,,,,,,,Toyota,2AZ-FE,1,In-Line,117.820,,4,158.0000,170.0000,2,Water,146.46,2362.000,2.400000,4,Gasoline,,,3,Multipoint Fuel Injection (MPFI),2,Dual Overhead Cam (DOHC),,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),6,All Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,150.2299772,7,7
24646,25,4,1-25-2022-004-06,6,1,2LMDJ8JK*DB******,04OCT2023:07:27:32.490,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),977,"FORD MOTOR COMPANY OF CANADA, LTD.",464,LINCOLN,1813,MKX,2013,,,,,1,CANADA,ONTARIO,OAKVILLE,Oakville,,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,13,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,,,,3,AWD/All-Wheel Drive,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,Ford,,,,227.440,,6,305.0000,,,,225.79,3700.000,3.700000,4,Gasoline,,,,,,,,,,,,Ti-VCT,1,Manual,,,3,1st Row (Driver and Passenger),,,4,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,518.3892669,2,7
24647,25,5,1-25-2022-005-09,9,1,5J6RE487*8L******,04OCT2023:07:27:32.693,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),988,"AMERICAN HONDA MOTOR CO., INC.",474,HONDA,1865,CR-V,2008,,EX-L,,,6,UNITED STATES (USA),OHIO,EAST LIBERTY,,,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,,,,,12,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,,,,,,,5,2,Automatic,2,4WD/4-Wheel Drive/4x4,,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,,K24Z1,1,In-Line,123.790,,4,166.0000,,,,144.00,2359.737,2.359737,4,Gasoline,,,,,2,Dual Overhead Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Direct,,,,,,,,,,,,,,,,1008.508535,2,7
24649,52,5,1-52-2022-005-04,4,1,KNMAT2MV*JP******,04OCT2023:07:27:33.090,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),1000,"RENAULT SAMSUNG MOTORS CO., LTD",478,NISSAN,1913,Rogue,2018,,,Wagon body style,,15,SOUTH KOREA,,BUSAN,Renault Samsung Motor Plant,,,24800.00,,8,Crossover Utility Vehicle (CUV),4,,,,,12,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,106.5000,,4,,,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,1,Left-Hand Drive (LHD),,,5,2,,,,2,4WD/4-Wheel Drive/4x4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,126.770,,4,170.0000,,,,152.56,2500.000,2.500000,4,Gasoline,,,,,,,,,,,118,,1,Manual,,,3,1st Row (Driver and Passenger),,,3,1st Row (Driver and Passenger),4,1st and 2nd Rows,,,2nd row outboard and center 3-point manual belts,,,1,Standard,1,Standard,,,1,Standard,,,,,,,,,1,Standard,,,,,,,1,Standard,,,1,Standard,,,,,1,Standard,1,Standard,1,Direct,,,,,1,Standard,,,,,,,1,Standard,"Hill Start Assist; Intelligent Around View Monitor: Optional; Rear Cross Traffic Alert: Standard; Parking Assist: Optional for SL Platinum trim; Lane Keep System, Lane Departure Warning, PAEB and Adaptive Driving Beam: Standard for SL Platinum trim;  Adaptive Cruise Control: Optional for SV trim, Standard for SL Platinum trim; Keyless Ignition: Standard for SV and SL Platinum trims",190.9352376,12,7
24649,52,5,1-52-2022-005-04,4,2,JN8AT3BB*MW******,04OCT2023:07:27:33.183,0,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),996,"NISSAN MOTOR COMPANY, LTD",478,NISSAN,1913,Rogue,2021,,Grade SV,Wagon Body Style,,3,JAPAN,FUKUOKA,"KYUSHU PLANT, MIYAKO-GUN","Nissan Motor Kyushu Co., Ltd.",,,,,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,12,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,106.5000,,4,18,18,,,,,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,1,Left-Hand Drive (LHD),,,5,2,,7,Continuously Variable Transmission (CVT),2,4WD/4-Wheel Drive/4x4,2,,,,,4-Wheel ABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.56,2500.000,2.500000,4,Gasoline,,,,,,,,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),3,1st Row (Driver and Passenger),4,1st and 2nd Rows,4,1st and 2nd Rows,,,1st Row 3-Point Manual Belts / 2nd Row outboard 3-Point Manual Belts / 2nd Row center 3-Point Manual Belts,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,1,Standard,,,1,Standard,3,LED,1,Standard,,,,,1,Standard,1,Standard,1,Direct,,,,,1,Standard,,,1,Standard,,,1,Standard,,190.9352376,12,7
24624,77,3,1-77-2022-003-02,2,2,1C6RREFG*MN******,04OCT2023:07:27:25.100,0,3,TRUCK,994,FCA US LLC,496,RAM,13620,1500,2021,Big Horn/Lonestar,Crew Cab,,,6,UNITED STATES (USA),MICHIGAN,STERLING HEIGHTS,STERLING HEIGHTS ASSEMBLY PLANT,,,,SRW: Single Rear Wheels,60,Pickup,,,,,,14,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,4,18,18,4,Crew/Super Crew/Crew Max,2,Short,,0,Not Applicable,0,Not Applicable,,,0,Not Applicable,0,Not Applicable,0,Not Applicable,,1,Left-Hand Drive (LHD),,,6,3,8,2,Automatic,7,4x2,2,,,2,Hydraulic,,,,,,,,,,,,,,,,,,,FCA,,2,V-Shaped,227.440,,6,305.0000,,,,219.69,3600.000,3.600000,4,Gasoline,,,,,,,,,,,,,1,Manual,,,3,1st Row (Driver and Passenger),,,6,All Rows,,,,,,3,Optional,1,Standard,3,Optional,3,Optional,3,Optional,,,3,Optional,5,Optional,,,1,Standard,2,Optional,,,,,1,Standard,1,Halogen,1,Standard,,,,,1,Standard,1,Standard,1,Direct,1,Standard,,,1,Standard,,,1,Standard,,,1,Standard,,97.45773006,9,7
