CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
24904,20,21,1-20-2022-021-03,3,1,1,1,1060,-4.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1030,-4.0000,22.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1050,-4.0000,7300.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1040,-4.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1080,-4.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1070,-4.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1060,-4.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1030,-3.5000,21.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1050,-3.5000,7400.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1040,-3.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1080,-3.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1070,-3.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1060,-3.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1030,-3.0000,18.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1050,-3.0000,7400.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1040,-3.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1080,-3.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1070,-3.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1060,-3.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1030,-2.5000,10.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1050,-2.5000,7400.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1040,-2.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1080,-2.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1070,-2.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1060,-2.5000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1030,-2.0000,10.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1050,-2.0000,7300.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1040,-2.0000,0.0000,43.86270332,11,7
24904,20,21,1-20-2022-021-03,3,1,1,1,1080,-2.0000,0.0000,43.86270332,11,7
