CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
2402052,81,43,1-81-2024-043-04,4,3,887,887,887,887,887,999,999,278,999,999,887,887,887,887,887,887,887,887,999,999,113,887,999,887,887,887,1903.54654592811,8,9
2402077,18,71,1-18-2024-071-04,4,1,887,887,887,887,887,887,887,887,887,887,42,887,999,999,999,887,887,887,887,887,887,887,887,887,887,887,305.022831662752,6,9
2402078,30,72,1-30-2024-072-04,4,2,887,887,887,887,887,887,887,272,887,887,45,887,112,999,999,887,887,887,11,14,105,887,887,887,887,887,2044.29476701994,10,9
2402082,24,49,1-24-2024-049-05,5,1,887,887,887,887,887,887,887,887,887,887,38,887,131,75,85,887,887,887,887,887,887,887,887,887,887,887,29.2580280079194,1,9
2402082,24,49,1-24-2024-049-05,5,2,887,887,887,887,887,887,887,887,887,887,887,44,887,887,887,999,999,999,24,14,887,8,36,89,887,887,29.2580280079194,1,9
2402083,24,50,1-24-2024-050-NM1,21,1,887,887,999,887,887,887,887,999,887,887,999,887,999,887,887,887,887,887,999,999,887,887,887,887,887,887,23.1726143074507,1,9
2402084,24,51,1-24-2024-051-09,9,2,887,887,278,887,887,887,887,887,887,887,40,887,121,999,999,887,887,887,11,23,887,887,887,887,887,887,2577.43990619842,1,9
2402087,25,48,1-25-2024-048-03,3,1,887,887,887,887,887,887,887,887,887,887,36,999,119,999,999,999,999,999,887,887,887,887,887,887,887,887,139.912654997625,2,9
2402087,25,48,1-25-2024-048-03,3,2,887,887,887,887,887,887,887,887,887,887,887,40,887,887,887,55,999,999,887,887,887,887,887,887,887,887,139.912654997625,2,9
2402088,25,49,1-25-2024-049-04,4,1,887,887,887,887,887,887,887,887,887,887,999,887,131,999,999,887,887,887,887,887,887,887,887,887,887,887,505.356391706328,2,9
2402863,16,84,1-16-2024-084-02,2,1,999,999,999,999,999,887,887,887,887,887,50,887,115,91,65,887,887,887,999,999,999,887,887,887,887,887,15.1092509057653,5,9
2402863,16,84,1-16-2024-084-02,2,2,887,887,887,887,887,887,887,887,887,887,57,887,141,85,55,887,887,887,887,887,887,887,887,887,887,887,15.1092509057653,5,9
2402863,16,84,1-16-2024-084-02,2,3,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,887,887,887,887,887,15.1092509057653,5,9
2402864,16,85,1-16-2024-085-09,9,1,887,887,887,887,887,887,887,280,887,887,43,887,116,84,55,887,887,887,999,999,999,887,887,887,887,887,4161.34407721317,5,9
2402865,16,86,1-16-2024-086-05,5,1,887,887,887,887,887,887,887,887,887,887,45,887,122,76,69,887,887,887,887,887,887,887,887,887,887,887,49.9895265329744,5,9
2402865,16,86,1-16-2024-086-05,5,2,887,887,887,887,887,887,887,887,887,887,45,40,125,81,45,55,30,30,887,887,887,887,887,887,887,887,49.9895265329744,5,9
2402881,76,79,1-76-2024-079-09,9,1,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,101,887,887,887,887,887,299.042628750875,3,9
2402881,76,79,1-76-2024-079-09,9,2,887,887,887,887,887,887,887,887,887,887,999,887,109,999,999,887,887,887,887,887,887,887,887,887,887,887,299.042628750875,3,9
2402883,22,84,1-22-2024-084-04,4,1,887,887,887,887,887,887,887,887,887,887,47,887,137,999,999,887,887,887,887,887,887,887,887,887,887,887,32.0683092145635,12,9
2402884,82,70,1-82-2024-070-03,3,2,887,887,887,887,887,887,887,887,887,887,887,887,133,887,887,887,887,169,999,999,127,887,40,91,887,887,107.830735344065,1,9
2402878,82,71,1-82-2024-071-04,4,1,887,887,887,887,887,887,887,887,887,887,999,999,118,887,887,887,887,171,999,999,99,999,999,83,887,887,406.439017898255,1,9
2403272,69,67,1-69-2024-067-03,3,1,887,887,345,887,887,887,887,330,887,887,37,887,90,887,887,887,887,887,5,4,170,887,887,887,887,887,28.3981261614182,8,9
2403270,29,30,1-29-2024-030-09,9,1,887,887,887,887,887,887,887,887,887,887,999,887,109,887,887,887,887,887,999,999,999,999,999,999,887,887,1132.86906528856,2,9
2403270,29,30,1-29-2024-030-09,9,2,887,887,887,887,887,887,887,887,887,887,887,887,116,887,887,887,887,887,999,999,111,887,887,887,887,887,1132.86906528856,2,9
2403249,82,81,1-82-2024-081-06,6,2,887,887,887,887,887,887,887,887,887,887,999,999,116,887,887,999,999,999,887,887,887,887,887,887,887,887,260.781112604779,1,9
2403273,15,129,1-15-2024-129-04,4,1,91,100,264,90,91,91,94,268,90,91,19,30,105,89,58,96,60,85,10,15,102,8,39,70,887,887,109.371972803588,1,9
2403273,15,129,1-15-2024-129-04,4,2,999,999,999,999,999,999,999,999,999,999,999,999,121,887,887,887,887,887,999,887,887,887,887,887,887,887,109.371972803588,1,9
2403274,15,130,1-15-2024-130-04,4,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,109.371972826815,1,9
2403275,20,88,1-20-2024-088-NM2,22,1,887,887,887,887,887,887,887,887,887,887,999,887,999,999,999,887,887,887,887,887,887,887,887,887,887,887,204.607683671141,11,9
2403276,30,116,1-30-2024-116-06,6,2,887,887,326,887,887,887,887,323,887,887,887,887,887,887,887,887,887,887,10,17,135,887,887,887,999,167,830.871465576524,10,9
2403211,11,93,1-11-2024-093-06,6,1,887,887,887,887,887,887,887,887,887,887,50,887,133,887,887,887,887,887,887,887,887,887,887,887,887,887,543.991512340262,8,9
2403281,59,102,1-59-2024-102-04,4,1,101,887,307,887,111,887,887,307,887,887,41,887,125,887,887,887,887,887,887,887,887,10,40,93,887,887,177.015010442225,6,9
2403282,59,103,1-59-2024-103-02,2,1,887,887,300,887,887,87,887,999,887,88,30,887,90,887,887,887,887,887,887,887,887,887,887,887,887,887,48.7900687173874,6,9
2403604,11,107,1-11-2024-107-07,7,2,887,887,887,887,887,887,887,887,887,887,999,887,128,999,999,887,887,887,999,999,112,999,42,87,887,887,1960.40096738067,8,9
2403608,25,94,1-25-2024-094-06,6,2,887,887,887,887,887,887,887,887,887,887,887,34,887,887,887,125,999,999,887,887,887,887,887,887,887,887,673.073242125667,2,9
2403609,28,107,1-28-2024-107-06,6,1,887,887,999,887,887,887,887,999,887,887,999,887,136,999,999,887,887,887,999,999,129,887,887,887,887,999,61.8342882077077,3,9
2403610,28,108,1-28-2024-108-10,10,1,887,887,887,887,887,887,887,887,887,887,48,887,111,999,999,887,887,887,887,887,887,887,887,887,887,887,1985.20441268766,3,9
2403611,28,109,1-28-2024-109-04,4,1,887,887,268,887,887,887,887,268,887,887,887,887,887,887,887,887,887,887,8,8,101,887,887,887,887,887,76.5126940089544,3,9
2403613,14,60,1-14-2024-060-03,3,1,887,887,887,887,887,887,887,265,887,887,887,887,887,887,887,887,887,887,10,15,107,887,887,887,887,887,280.150225012487,8,9
2403615,14,62,1-14-2024-062-05,5,1,887,887,887,887,887,887,887,887,887,887,32,887,112,999,999,887,887,887,887,887,887,887,887,887,887,887,76.4230415651045,8,9
2403613,14,60,1-14-2024-060-03,3,2,887,887,887,887,887,887,887,887,887,887,40,887,141,999,999,887,887,887,887,887,887,887,887,887,887,887,280.150225012487,8,9
2403616,32,123,1-32-2024-123-NM1,21,1,887,887,887,887,887,887,887,887,887,887,999,887,157,887,887,85,887,887,887,887,116,887,29,81,887,887,73.4062485290255,7,9
2403612,28,110,1-28-2024-110-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,13,25,113,8,38,81,887,887,28.3089754479373,3,9
2403615,14,62,1-14-2024-062-05,5,2,887,887,999,887,887,887,887,999,887,887,50,887,131,999,999,887,887,887,887,887,887,887,887,887,999,999,76.4230415651045,8,9
