CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCLASS,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
2400640,25,15,1-25-2024-015-04,4,1,1,3,42,10,12,0,0,888,12RBE999,R,B,E,9,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,9,8,Unknown,Unknown,Unknown - Overlapping Damage,999,999,999,999,999,999,999,999,999,999,999,999,,,329.519302705053,2,9
2400463,17,13,1-17-2024-013-03,3,1,4,1,2,350,12,0,0,220,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,3,15,-15,3,22981,998,24,19,0,1,"Begins 72cm left of center point, extending right","Begins 65cm left of center point, extending right",57 cm left of center,130,0,160,-12,120,8,8,6,6,5,7,2,,,60.1064786597745,4,9
2400463,17,13,1-17-2024-013-03,3,1,2,3,59,10,12,0,0,888,12FLEE02,F,L,E,E,02,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,8,"Begins 62cm left of center point, extending left",Unknown,Left Bumper Corner,999,999,999,999,21,999,999,999,999,999,999,999,,,60.1064786597745,4,9
2400463,17,13,1-17-2024-013-03,3,1,3,3,59,10,12,0,0,888,12FREE02,F,R,E,E,02,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,"Begins 64cm right of center point, extending right",Unknown,Right Bumper Corner,999,999,999,999,17,999,999,999,999,999,999,999,,,60.1064786597745,4,9
2400549,59,21,1-59-2024-021-04,4,1,1,3,60,0,12,0,0,888,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,7,1,"Begins 68cm left of center point, extending right",Unknown,Unk,999,999,999,999,136,999,999,999,999,999,999,999,,,105.325659634205,6,9
2400549,59,21,1-59-2024-021-04,4,1,2,2,32,998,0,0,0,888,00TDLO03,T,D,L,O,03,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,7,2,Not measured,Not Measured,Left C-Pillar,777,777,777,777,777,,,,,,,,9,11,105.325659634205,6,9
2400512,15,16,1-15-2024-016-03,3,1,1,1,2,350,12,0,0,260,12FLEE03,F,L,E,E,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,LF bumper corner,999,999,999,999,999,999,999,999,999,999,999,999,,,20.3353299094226,1,9
2400579,54,21,1-54-2024-021-10,10,1,1,6,99,280,9,0,0,888,09LFWN03,L,F,W,N,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,2,Unknown,Unknown,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,297.406603751546,9,9
2401105,48,41,1-48-2024-041-03,3,3,3,1,2,280,9,0,0,170,09FLAE09,F,L,A,E,09,8,8,8,8,888,888,888,3,11,-2,11,17828,998,251,8,0,1,"Begins 45cm left of center point, extending left","Begins 80cm right of center point, extending left",66 cm left of center,160,0,160,-62,35,8,8,0,1,2,0,0,,,54.9604072040948,12,9
2401115,66,22,1-66-2024-022-06,6,1,1,1,2,310,10,0,0,0,10LYAW02,L,Y,A,W,02,1,0,0,0,35,40,0,1,28,-18,22,94786,998,9,32,0,1,"Begins 80cm forward of front axle, extending rearward","Begins 80cm forward of front axle, extending rearward",83 cm forward of center,260,92,260,92,260,31,0,21,31,19,11,25,,,124.972344097308,6,9
