CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2406213,66,121,1-66-2024-121-NM2,22,1,1,36,157,61,2,8,1,1,1,1,3,2,0,110.074249285118,6,9
2406219,15,242,1-15-2024-242-NM2,22,1,1,49,999,999,2,8,1,9,9,9,9,7,0,30.3797729398406,1,9
2406243,67,57,1-67-2024-057-NM2,22,1,1,45,999,999,2,8,1,1,9,9,3,2,0,280.830811465838,7,9
2406281,52,63,1-52-2024-063-NM2,22,1,1,35,999,999,1,8,1,9,9,9,8,2,0,99.7929570162416,12,9
2406292,22,191,1-22-2024-191-NM2,22,1,1,85,165,58,2,8,1,1,2,0,3,2,0,24.4305122731702,12,9
2406194,82,169,1-82-2024-169-NM2,22,1,1,40,999,999,1,8,1,9,9,9,3,7,0,291.351098901355,1,9
2406323,14,132,1-14-2024-132-NM2,22,1,1,36,999,999,1,8,1,9,1,9,3,2,0,464.271661627575,8,9
2406368,20,150,1-20-2024-150-NM2,22,1,1,999,999,999,9,8,1,9,9,9,9,7,9,450.978616278898,11,9
2406373,10,131,1-10-2024-131-NM2,22,1,1,999,999,999,9,8,1,9,9,9,8,7,0,47.9403529530355,4,9
2406376,20,151,1-20-2024-151-NM2,22,1,1,48,168,73,2,8,1,1,2,0,3,2,0,1093.0659222961,11,9
2402956,12,50,1-12-2024-050-NM2,22,1,1,50,150,64,2,8,1,1,1,1,3,2,0,639.059715073345,9,9
2402975,24,81,1-24-2024-081-NM2,22,1,1,67,163,59,2,8,1,1,2,0,3,2,0,262.129476205265,1,9
2402990,32,105,1-32-2024-105-NM2,22,1,1,36,999,999,1,8,1,9,1,9,3,2,0,564.925282878733,7,9
2403020,22,90,1-22-2024-090-NM2,22,1,1,17,999,999,1,8,1,9,9,9,3,2,0,24.4305122731702,12,9
2402995,27,96,1-27-2024-096-NM2,22,1,1,58,168,104,1,8,1,1,2,1,3,2,0,45.5428338265018,3,9
2403028,31,63,1-31-2024-063-NM2,22,1,1,70,999,999,2,8,1,1,9,9,3,2,0,197.377933176122,6,9
2403102,16,93,1-16-2024-093-NM2,22,1,1,61,163,77,2,8,1,1,2,0,3,2,0,346.176563309069,5,9
2403175,10,48,1-10-2024-048-NM2,22,1,1,33,999,999,1,8,1,9,9,9,3,2,0,917.555786243938,4,9
2403191,12,53,1-12-2024-053-NM2,22,1,1,52,175,104,1,8,1,1,1,1,3,2,0,279.612696685556,9,9
2403275,20,88,1-20-2024-088-NM2,22,1,1,42,178,134,1,8,1,9,1,9,0,2,0,204.607683671141,11,9
2403403,29,33,1-29-2024-033-NM2,22,1,1,22,999,999,2,8,1,9,9,9,0,2,0,717.115181555973,2,9
2403389,15,132,1-15-2024-132-NM2,22,1,1,52,999,999,2,8,1,9,9,9,3,7,0,43.1774985201338,1,9
2403432,62,93,1-62-2024-093-NM2,22,1,1,19,999,999,2,8,1,2,9,9,8,2,0,1033.17136515517,7,9
