CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400693,77,22,1-77-2024-022-NM2,22,1,C,1,703,1,93,-3,0,0,741,3,2,426.24158292944,9,9
2400693,77,22,1-77-2024-022-NM2,22,1,D,1,702,1,82,-6,0,0,761,2,2,426.24158292944,9,9
2400693,77,22,1-77-2024-022-NM2,22,1,E,1,702,1,80,-36,0,0,851,4,1,426.24158292944,9,9
2400693,77,22,1-77-2024-022-NM2,22,1,F,1,700,1,72,-59,0,0,851,4,1,426.24158292944,9,9
2400832,77,29,1-77-2024-029-NM1,21,1,A,1,718,1,50,12,2,0,842,1,1,113.21347390618,9,9
2400832,77,29,1-77-2024-029-NM1,21,1,B,1,700,1,70,22,3,0,832,1,1,113.21347390618,9,9
2400832,77,29,1-77-2024-029-NM1,21,1,C,1,702,1,102,5,8,0,512,2,1,113.21347390618,9,9
2400832,77,29,1-77-2024-029-NM1,21,1,D,1,703,1,133,17,8,0,712,1,1,113.21347390618,9,9
2400832,77,29,1-77-2024-029-NM1,21,1,E,5,770,1,150,18,3,0,101,1,1,113.21347390618,9,9
2401042,52,13,1-52-2024-013-NM1,21,1,A,1,706,1,76,72,3,8,831,2,1,20.9023614233441,12,9
2401042,52,13,1-52-2024-013-NM1,21,1,B,5,772,1,110,84,888,8,859,9,1,20.9023614233441,12,9
2401042,52,13,1-52-2024-013-NM1,21,1,C,6,775,1,235,43,7,8,101,96,2,20.9023614233441,12,9
2401042,52,13,1-52-2024-013-NM1,21,1,D,6,784,1,216,70,888,8,729,3,1,20.9023614233441,12,9
2401042,52,13,1-52-2024-013-NM1,21,1,E,3,753,1,216,83,888,8,519,3,1,20.9023614233441,12,9
2400730,32,22,1-32-2024-022-NM1,21,1,A,1,719,1,999,999,999,0,999,98,2,10.9241646727683,7,9
2400730,32,22,1-32-2024-022-NM1,21,1,B,5,770,1,999,999,999,0,512,1,2,10.9241646727683,7,9
2400052,27,1,1-27-2024-001-NM1,21,1,P,10,61,2,888,888,888,8,999,98,1,20.5862279366663,3,9
2400923,21,22,1-21-2024-022-NM1,21,1,A,1,700,1,28,-4,6,0,851,1,1,12.4076963253184,11,9
2400923,21,22,1-21-2024-022-NM1,21,1,B,6,775,1,230,112,10,0,731,5,1,12.4076963253184,11,9
