CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2401149,33,18,1-33-2024-018-03,3,1,275,484,190,1606,160,101,108,162,4,2.5,2,4,0,0,59,27.3329411219541,12,9
2402821,33,46,1-33-2024-046-09,9,1,267,456,175,1284,151,93,96,154,4,1.8,2,1,0,1,61,130.804564789054,12,9
2402323,33,38,1-33-2024-038-06,6,1,285,487,185,1558,159,94,110,142,4,1.5,2,1,0,0,59,156.836222800646,12,9
2403697,33,63,1-33-2024-063-01,1,1,267,456,175,1258,151,93,96,142,4,1.8,2,1,0,0,61,35.1791324819626,12,9
2401908,33,31,1-33-2024-031-01,1,1,312,512,197,2168,171,999,999,160,6,3.3,2,4,0,0,99,40.9514113335778,12,9
2405297,33,100,1-33-2024-100-02,2,2,267,439,189,1568,161,87,86,166,3,1.5,2,3,0,1,57,23.2460633538017,12,9
2400379,20,8,1-20-2024-008-07,7,2,260,453,170,1130,146,94,100,144,4,1.8,2,1,0,0,61,432.198032471815,11,9
2400379,20,8,1-20-2024-008-07,7,3,295,505,200,2318,167,96,116,999,8,5.3,2,2,9,0,99,432.198032471815,11,9
2404088,33,75,1-33-2024-075-05,5,1,270,463,184,1550,160,93,100,999,4,2.5,2,1,9,0,57,25.3427821602115,12,9
2404506,33,87,1-33-2024-087-08,8,1,262,444,181,1540,155,86,95,142,6,3.0,2,1,0,0,59,54.7275070105528,12,9
2403324,33,55,1-33-2024-055-10,10,1,295,505,200,2211,167,96,116,172,8,5.3,2,2,0,0,52,58.854607771382,12,9
2401254,33,19,1-33-2024-019-08,8,1,280,494,185,1621,157,100,114,999,6,3.4,2,1,9,0,62,39.8865413755801,12,9
2401738,33,28,1-33-2024-028-04,4,2,265,453,183,1340,154,89,99,140,4,2.0,2,1,0,0,60,61.5448384435777,12,9
2406384,33,112,1-33-2024-112-03,3,1,310,514,169,1483,150,82,122,999,4,2.7,2,2,9,0,99,42.0497493010492,12,9
2406384,33,112,1-33-2024-112-03,3,2,258,407,173,1156,152,83,66,999,4,1.6,2,1,9,0,57,42.0497493010492,12,9
2401383,33,23,1-33-2024-023-03,3,1,368,584,203,2130,172,96,120,999,6,3.5,2,3,9,0,58,37.4648103957919,12,9
