CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2400747,33,10,1-33-2024-010-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9153,133.440131762511,12,9
2400759,30,24,1-30-2024-024-02,2,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,10097,18.7124163743047,10,9
2400759,30,24,1-30-2024-024-02,2,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6515,18.7124163743047,10,9
2400752,19,14,1-19-2024-014-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6179,137.40249401059,9,9
2400735,18,26,1-18-2024-026-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17921,239.178929734892,6,9
2400764,12,15,1-12-2024-015-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7474,241.497853716308,9,9
2400760,30,25,1-30-2024-025-02,2,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12136,16.2875943881497,10,9
2400746,33,9,1-33-2024-009-03,3,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6651,26.4087044256374,12,9
2400756,13,14,1-13-2024-014-02,2,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5886,9.13287494953795,7,9
2400764,12,15,1-12-2024-015-05,5,2,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,241.497853716308,9,9
2400768,17,22,1-17-2024-022-07,7,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8581,334.329957078067,4,9
2400771,17,25,1-17-2024-025-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,21173,94.7528755365864,4,9
2403996,60,55,1-60-2024-055-03,3,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6186,252.351417933937,8,9
2404011,52,43,1-52-2024-043-02,2,1,1,8,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,6960,21.737445977484,12,9
2404013,28,126,1-28-2024-126-09,9,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,84.0814352883391,3,9
2404014,81,97,1-81-2024-097-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4765,444.901536143356,8,9
2404014,81,97,1-81-2024-097-03,3,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,444.901536143356,8,9
2404016,21,85,1-21-2024-085-02,2,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6775,10.5328526507938,11,9
2404018,26,106,1-26-2024-106-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1444,1803.86639113949,10,9
2403934,82,103,1-82-2024-103-05,5,1,1,6,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9560,23.9814262485552,1,9
2404023,29,50,1-29-2024-050-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3564,259.551490167447,2,9
2404031,69,89,1-69-2024-089-03,3,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,32.320569153545,8,9
2404031,69,89,1-69-2024-089-03,3,2,1,4,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,32.320569153545,8,9
2404031,69,89,1-69-2024-089-03,3,3,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,32.320569153545,8,9
2404027,82,105,1-82-2024-105-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9635,139.557521301747,1,9
2404033,31,83,1-31-2024-083-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11486,230.868935151332,6,9
2404032,31,82,1-31-2024-082-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2088,222.052598299916,6,9
2404034,14,71,1-14-2024-071-01,1,1,1,2,Crash Data Retrieval Tool 24.1.259,Crash Data Retrieval Tool 24.3.648,1,6467,247.606686231623,8,9
2404026,82,104,1-82-2024-104-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4114,139.557521301747,1,9
2404035,66,82,1-66-2024-082-06,6,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15904,124.972344097308,6,9
2404036,21,86,1-21-2024-086-08,8,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,42846,359.511512233548,11,9
2404037,62,112,1-62-2024-112-04,4,1,1,2,E-N-H-01-00-0062,EDR002-R01,1,999997,1828.44209322658,7,9
2404037,62,112,1-62-2024-112-04,4,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16183,1828.44209322658,7,9
2404037,62,112,1-62-2024-112-04,4,3,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,1828.44209322658,7,9
2404044,11,124,1-11-2024-124-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2388,72.7397637397295,8,9
2404056,77,133,1-77-2024-133-02,2,1,1,10,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6353,83.1566199866033,9,9
2404057,77,134,1-77-2024-134-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5816,554.17937603608,9,9
2404052,10,69,1-10-2024-069-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,21605,59.1173447825401,4,9
2404046,81,99,1-81-2024-099-02,2,1,1,1,E-N-H-01-00-0062,EDR001-R01,1,9467,45.7690227505208,8,9
2404053,10,70,1-10-2024-070-NM1,21,1,1,0,E-N-K-01-00-0058,EDR001-R01,1,999997,31.3806248143146,4,9
2404058,67,27,1-67-2024-027-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3042,98.1894542929286,7,9
2404055,23,42,1-23-2024-042-05,5,2,1,2,Crash Data Retrieval Tool 24.0.1,Crash Data Retrieval Tool 24.3.648,1,7820,106.980373929413,5,9
2404066,57,103,1-57-2024-103-02,2,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2882,13.8251120734564,1,9
2404065,73,114,1-73-2024-114-02,2,1,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,2996,31.8497733664116,3,9
2404058,67,27,1-67-2024-027-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5036,98.1894542929286,7,9
2404067,57,104,1-57-2024-104-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8426,313.179779784653,1,9
2404059,67,28,1-67-2024-028-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8468,420.22869156482,7,9
2404071,48,130,1-48-2024-130-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17786,420.915271729304,12,9
2400766,12,16,1-12-2024-016-08,8,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,18456,453.341827207528,9,9
2400772,81,18,1-81-2024-018-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4447,554.676008048992,8,9
2400775,21,18,1-21-2024-018-03,3,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6175,144.121526471186,11,9
2400748,27,24,1-27-2024-024-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9446,50.9387159232509,3,9
2400749,27,25,1-27-2024-025-06,6,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17516,20.2078569673904,3,9
2400780,23,11,1-23-2024-011-02,2,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6147,62.9617318466021,5,9
2400749,27,25,1-27-2024-025-06,6,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8620,20.2078569673904,3,9
2400776,27,27,1-27-2024-027-06,6,2,1,1,E-N-H-01-00-0060,EDR001-R01,1,12860,20.2078569673904,3,9
2400781,23,12,1-23-2024-012-05,5,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8791,97.8753376757072,5,9
2400750,27,26,1-27-2024-026-04,4,1,1,0,E-N-K-01-00-0056,EDR002-R01,1,999997,23.4030628879883,3,9
2400777,20,18,1-20-2024-018-06,6,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,27710,220.336429698362,11,9
2400790,69,13,1-69-2024-013-02,2,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5904,9.2899222432138,8,9
2400787,54,22,1-54-2024-022-06,6,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,26775,431.29120176655,9,9
2400735,18,26,1-18-2024-026-04,4,2,1,1,E-N-H-01-00-0060,EDR002-R01,1,1196,239.178929734892,6,9
2400785,26,16,1-26-2024-016-05,5,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20278,37.7123897005153,10,9
2400797,22,20,1-22-2024-020-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15755,25.2675524846257,12,9
2400801,48,29,1-48-2024-029-04,4,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5951,145.557430364465,12,9
2400798,22,21,1-22-2024-021-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6105,25.2675524846257,12,9
2400786,26,17,1-26-2024-017-03,3,2,1,1,E-N-H-01-00-0060,EDR002-R01,1,5608,381.076602666498,10,9
2400786,26,17,1-26-2024-017-03,3,3,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2959,381.076602666498,10,9
2400802,77,26,1-77-2024-026-03,3,1,1,1,E-N-H-01-00-0060,EDR002-R01,1,1881,122.494592247471,9,9
2400806,66,15,1-66-2024-015-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5739,124.972344097308,6,9
2400806,66,15,1-66-2024-015-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8357,124.972344097308,6,9
2400803,66,12,1-66-2024-012-09,9,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15544,97.5596917228585,6,9
2400805,66,14,1-66-2024-014-10,10,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,727.168496132888,6,9
2400804,66,13,1-66-2024-013-06,6,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17616,124.972344097308,6,9
2400807,25,19,1-25-2024-019-03,3,1,1,4,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,14327,107.654306093074,2,9
2400807,25,19,1-25-2024-019-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4905,107.654306093074,2,9
2400807,25,19,1-25-2024-019-03,3,3,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,14153,107.654306093074,2,9
2400809,13,18,1-13-2024-018-03,3,2,1,2,E-N-H-01-00-0060,EDR001-R01,1,10219,165.322256679905,7,9
2400810,15,28,1-15-2024-028-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,268.38869764623,1,9
2400812,20,21,1-20-2024-021-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6980,70.8104625329888,11,9
2400188,81,151,1-81-2024-151-08,8,2,1,3,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,999997,701.365448693135,8,9
2400813,18,29,1-18-2024-029-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5223,37.4691262436427,6,9
2400826,59,27,1-59-2024-027-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17966,181.695806750984,6,9
2400824,10,12,1-10-2024-012-09,9,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,18357,1057.88880962125,4,9
2400894,76,24,1-76-2024-024-04,4,1,1,0,E-N-H-01-00-0060,EDR001-R01,1,999997,86.4714255045695,3,9
2400887,16,28,1-16-2024-028-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2010,724.275671728201,5,9
2400895,76,25,1-76-2024-025-07,7,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12114,72.7960942583928,3,9
2400896,76,26,1-76-2024-026-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15775,72.7960942583928,3,9
2400888,16,29,1-16-2024-029-09,9,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20505,1910.29204097108,5,9
2400873,11,20,1-11-2024-020-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,27307,45.0595330598255,8,9
2400873,11,20,1-11-2024-020-03,3,2,1,1,E-N-K-01-00-0056,EDR001-R01,1,7066,45.0595330598255,8,9
2400891,31,17,1-31-2024-017-04,4,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3061,222.052598299916,6,9
2400889,31,15,1-31-2024-015-07,7,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11791,401.711947163317,6,9
2400860,17,27,1-17-2024-027-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16268,73.2511684159124,4,9
2400860,17,27,1-17-2024-027-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,40537,73.2511684159124,4,9
2400862,17,29,1-17-2024-029-04,4,1,1,0,E-N-K-01-00-0056,EDR002-R01,1,999997,69.0851041143821,4,9
2400901,52,11,1-52-2024-011-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,14531,19.4411121960784,12,9
2400903,28,22,1-28-2024-022-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,10287,41.6717563477699,3,9
2400904,28,23,1-28-2024-023-06,6,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16329,603.235641208148,3,9
2400901,52,11,1-52-2024-011-03,3,2,1,2,E-N-H-01-00-0060,EDR01-R01,1,4015,19.4411121960784,12,9
2400902,52,12,1-52-2024-012-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8087,98.2336933778546,12,9
2400911,66,18,1-66-2024-018-04,4,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,240,114.973892842,6,9
2400915,66,16,1-66-2024-016-07,7,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15269,240.716767785159,6,9
2400915,66,16,1-66-2024-016-07,7,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12100,240.716767785159,6,9
2400914,27,30,1-27-2024-030-04,4,1,1,6,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3405,23.5163223733446,3,9
2400918,15,30,1-15-2024-030-06,6,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,11366,76.6723208142616,1,9
2400906,27,29,1-27-2024-029-07,7,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7432,91.833772569866,3,9
2400919,15,31,1-15-2024-031-04,4,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,14350,78.6733014995686,1,9
2400908,27,31,1-27-2024-031-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,18476,41.6891280851768,3,9
2400906,27,29,1-27-2024-029-07,7,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7724,91.833772569866,3,9
2400905,27,28,1-27-2024-028-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15618,91.8337725309603,3,9
2400908,27,31,1-27-2024-031-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17502,41.6891280851768,3,9
2400910,66,17,1-66-2024-017-09,9,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,2,999997,117.638784393433,6,9
2400916,66,19,1-66-2024-019-10,10,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,19083,2078.08596894865,6,9
2400931,22,26,1-22-2024-026-09,9,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,32183,38.1287781911826,12,9
2400932,22,27,1-22-2024-027-07,7,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7906,57.686594357798,12,9
2400930,22,25,1-22-2024-025-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,26716,25.2675524846257,12,9
2400936,24,20,1-24-2024-020-04,4,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,102.991626372028,1,9
2400939,13,22,1-13-2024-022-09,9,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,18146,1432.19031127233,7,9
2400941,30,30,1-30-2024-030-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1304,1500.1737776518,10,9
2400924,26,18,1-26-2024-018-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12945,43.8292003608038,10,9
2404050,62,116,1-62-2024-116-01,1,4,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3335,187.399481537113,7,9
2404062,48,131,1-48-2024-131-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5468,83.301978591563,12,9
2404059,67,28,1-67-2024-028-04,4,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20766,420.22869156482,7,9
2404075,19,53,1-19-2024-053-05,5,2,1,1,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,14402,73.2539652773898,9,9
2404080,54,97,1-54-2024-097-02,2,1,1,10,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,6445,132.981711816027,9,9
2404072,18,111,1-18-2024-111-03,3,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2374,71.973811785793,6,9
2404087,33,74,1-33-2024-074-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,419,553.660018383497,12,9
2404072,18,111,1-18-2024-111-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,13532,71.973811785793,6,9
2404093,30,143,1-30-2024-143-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1679,311.062136927439,10,9
2404091,17,131,1-17-2024-131-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,29775,80.5149195556731,4,9
2404082,12,73,1-12-2024-073-09,9,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,28051,325.152652942967,9,9
2404091,17,131,1-17-2024-131-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3081,80.5149195556731,4,9
2404079,12,75,1-12-2024-075-07,7,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8984,604.062221579509,9,9
2404095,57,107,1-57-2024-107-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8202,100.647927826823,1,9
2404086,69,93,1-69-2024-093-07,7,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,10889,465.269037606198,8,9
2404078,12,74,1-12-2024-074-03,3,2,1,2,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,6369,164.057323491007,9,9
2404092,17,132,1-17-2024-132-10,10,2,1,1,Crash Data Retrieval Tool 24.0,Crash Data Retrieval Tool 24.3.648,1,34618,2232.66190323907,4,9
2404090,17,130,1-17-2024-130-05,5,1,1,1,Crash Data Retrieval Tool 24.0,Crash Data Retrieval Tool 24.3.648,1,19281,73.9642155230616,4,9
2404151,81,102,1-81-2024-102-02,2,3,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1061,26.6902214863668,8,9
2404217,66,85,1-66-2024-085-03,3,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7506,79.4686416678806,6,9
2404221,57,113,1-57-2024-113-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,30477,139.736179967937,1,9
2404220,79,86,1-79-2024-086-01,1,2,1,1,E-N-K-01-00-0058,EDR002-R01,1,2676,107.802444352875,8,9
2404178,54,101,1-54-2024-101-04,4,2,1,7,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,6542,258.040390365546,9,9
2404215,19,56,1-19-2024-056-05,5,1,1,2,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,14537,49.1552833588875,9,9
2404200,67,29,1-67-2024-029-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11339,955.458116107281,7,9
2404212,33,77,1-33-2024-077-09,9,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,429.838695718984,12,9
2404223,27,130,1-27-2024-130-09,9,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,23261,14.5067065550545,3,9
2404214,19,55,1-19-2024-055-04,4,2,1,2,E-N-K-01-00-0056,EDR002-R01,1,7036,515.327236385689,9,9
2404222,27,129,1-27-2024-129-04,4,1,1,0,E-N-H-01-00-0062,EDR002-R01,1,999997,18.7495302149441,3,9
2404229,12,76,1-12-2024-076-09,9,1,1,1,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,11758,213.959774403008,9,9
2404200,67,29,1-67-2024-029-04,4,3,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17197,955.458116107281,7,9
2404224,27,131,1-27-2024-131-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,19510,22.5691073413332,3,9
2404230,12,77,1-12-2024-077-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1945,164.057323491007,9,9
2404233,30,147,1-30-2024-147-05,5,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,25.0922001598244,10,9
2404233,30,147,1-30-2024-147-05,5,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9307,25.0922001598244,10,9
2404200,67,29,1-67-2024-029-04,4,4,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3935,955.458116107281,7,9
2404226,69,95,1-69-2024-095-07,7,2,1,1,E-N-H-01-00-0062,EDR001-R01,1,9929,993.965132071488,8,9
2404228,69,97,1-69-2024-097-02,2,1,1,1,E-N-H-01-00-0062,EDR001-R01,1,12414,7.30201599951961,8,9
2404228,69,97,1-69-2024-097-02,2,2,1,1,E-N-K-01-00-0058,EDR002-R01,1,3058,7.30201599951961,8,9
2404231,12,78,1-12-2024-078-06,6,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20179,257.996460650317,9,9
2404235,26,108,1-26-2024-108-NM1,21,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4344,41.696402482386,10,9
2404236,27,133,1-27-2024-133-10,10,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,43.6450436036191,3,9
2404245,17,136,1-17-2024-136-04,4,1,1,2,Crash Data Retrieval Tool 24.0,Crash Data Retrieval Tool 24.3.648,1,1047,172.988606540628,4,9
2404242,17,133,1-17-2024-133-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6563,172.988606472898,4,9
2404239,22,126,1-22-2024-126-03,3,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6955,26.0912892801948,12,9
2404244,17,135,1-17-2024-135-04,4,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15537,172.988606459298,4,9
2404246,15,166,1-15-2024-166-05,5,1,1,1,Crash Data Retrieval Tool 24.1.197,Crash Data Retrieval Tool 24.3.648,1,11042,13.6400789963135,1,9
2404249,15,169,1-15-2024-169-06,6,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,33806,43.2690274876321,1,9
2404240,22,127,1-22-2024-127-05,5,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9845,25.2675524846257,12,9
2404240,22,127,1-22-2024-127-05,5,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,24204,25.2675524846257,12,9
2404250,21,90,1-21-2024-090-04,4,1,1,1,E-N-K-01-00-0058,EDR002-R01,1,6716,291.806377579817,11,9
2400874,11,21,1-11-2024-021-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12214,166.913722361013,8,9
2400875,11,22,1-11-2024-022-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2485,45.0595330598255,8,9
