CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2400217,31,3,1-31-2024-003-04,4,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,21323,222.052598299916,6,9
2400237,27,9,1-27-2024-009-03,3,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,2712,11.8514312322575,3,9
2400237,27,9,1-27-2024-009-03,3,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,13523,11.8514312322575,3,9
2400233,69,6,1-69-2024-006-01,1,1,1,3,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,20040,9.75568259696968,8,9
2400209,11,5,1-11-2024-005-07,7,1,1,0,E-N-K-01-00-0056,EDR001-R01,1,999997,657.057558003413,8,9
2400235,27,7,1-27-2024-007-06,6,1,1,1,E-N-K-01-00-0056,EDR001-R01,1,21482,61.805879129382,3,9
2400236,27,8,1-27-2024-008-07,7,1,1,0,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,5983,196.612062550326,3,9
2400234,27,6,1-27-2024-006-07,7,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,12174,196.612062436637,3,9
2400239,57,6,1-57-2024-006-03,3,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,8453,40.3695381904975,1,9
2400239,57,6,1-57-2024-006-03,3,2,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,18892,40.3695381904975,1,9
2400238,57,5,1-57-2024-005-06,6,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,16841,125.615334188791,1,9
2400240,26,3,1-26-2024-003-06,6,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,26073,855.626158255573,10,9
2400248,22,4,1-22-2024-004-NM2,22,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6220,105.99041920132,12,9
2400249,22,5,1-22-2024-005-04,4,1,1,0,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,999997,191.581178145966,12,9
2400250,22,6,1-22-2024-006-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8330,42.1405403497324,12,9
2400250,22,6,1-22-2024-006-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4226,42.1405403497324,12,9
2400251,28,4,1-28-2024-004-06,6,1,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,7501,44.5186799027896,3,9
2400247,21,4,1-21-2024-004-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,27022,127.696919509624,11,9
