CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,PBTYPE,PBAGE,PBSEX,PEDCTYPE,PEDCGP,PEDLOC,PEDPOS,PEDDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,BIKECTYPE,BIKECGP,BIKELOC,BIKEPOS,BIKEDIR,CASEWGT,PSUSTRAT,VERSION
2404029,82,106,1-82-2024-106-NM2,22,1,5,30,2,742,740,3,3,8,8,8,8,8,0,0,7,7,7,313.918669121444,1,9
2404477,27,140,1-27-2024-140-NM2,22,1,6,40,1,0,0,7,77,7,7,7,7,7,213,215,1,2,1,26.6993316813968,3,9
2406391,22,194,1-22-2024-194-NM1,21,2,5,17,2,742,740,1,2,4,1,3,2,3b,0,0,7,7,7,23.3960835753343,12,9
2406391,22,194,1-22-2024-194-NM1,21,1,5,16,2,742,740,1,2,4,1,3,2,3b,0,0,7,7,7,23.3960835753343,12,9
2402620,31,52,1-31-2024-052-NM2,22,1,6,10,9,0,0,7,77,7,7,7,7,7,144,145,1,1,1,197.377933176122,6,9
2406002,81,159,1-81-2024-159-NM1,21,1,5,66,1,150,100,3,5,8,8,8,8,8,0,0,7,7,7,21.098194093673,8,9
2406001,81,158,1-81-2024-158-NM2,22,1,5,15,2,320,350,3,3,8,8,8,8,8,0,0,7,7,7,1666.588526805,8,9
2406132,10,129,1-10-2024-129-NM1,21,1,5,57,2,320,350,3,3,8,8,8,8,8,0,0,7,7,7,31.3806248143146,4,9
2406213,66,121,1-66-2024-121-NM2,22,1,5,17,1,741,740,3,3,8,8,8,8,8,0,0,7,7,7,110.074249285118,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,11,62,1,770,750,1,2,1,2,3,2,3b,0,0,7,7,7,197.377933176122,6,9
2406243,67,57,1-67-2024-057-NM2,22,1,5,53,2,770,750,1,1,4,3,3,1,1a,0,0,7,7,7,280.830811465838,7,9
2405745,22,175,1-22-2024-175-NM2,22,1,6,18,1,0,0,7,77,7,7,7,7,7,213,215,1,3,3,38.9781737548834,12,9
2404658,81,117,1-81-2024-117-NM1,21,1,13,46,2,140,100,2,5,9,2,1,1,10d,0,0,7,7,7,26.5893987350207,8,9
2406194,82,169,1-82-2024-169-NM2,22,1,6,14,1,0,0,7,77,7,7,7,7,7,148,190,1,1,9,291.351098901355,1,9
2406259,30,213,1-30-2024-213-NM1,21,1,5,48,2,760,750,1,2,3,2,3,1,1a,0,0,7,7,7,70.0679338170937,10,9
2406368,20,150,1-20-2024-150-NM2,22,1,5,37,1,620,600,3,3,8,8,8,8,8,0,0,7,7,7,450.978616278898,11,9
