CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2401399,24,32,1-24-2024-032-03,3,1,1,2,1,40.00,190.00,7,8,9995.00,9995.00,40.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,40.00,9997.00,9997.00,7,4,7,45.4386068459632,1,9
2401045,15,35,1-15-2024-035-03,3,1,1,2,1,0.00,0.00,7,0,0.00,0.00,0.00,0.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,0.00,9997.00,7,7,7,22.844722638109,1,9
2400486,16,16,1-16-2024-016-03,3,2,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,112.722559063275,5,9
2402312,10,30,1-10-2024-030-04,4,2,1,2,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,3,7,1083.59847476752,4,9
2401550,11,39,1-11-2024-039-06,6,1,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,270.558640267597,8,9
2400078,59,4,1-59-2024-004-08,8,1,1,2,0,22.00,31.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,22.00,41.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,111.392066987082,6,9
2401419,27,47,1-27-2024-047-03,3,1,1,5,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,11.8514312322575,3,9
2405609,82,160,1-82-2024-160-02,2,1,1,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,23.9814262485552,1,9
2404805,66,95,1-66-2024-095-01,1,1,1,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,106.258770256521,6,9
2401914,69,34,1-69-2024-034-03,3,1,1,5,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,43.5412991894678,8,9
2405785,30,195,1-30-2024-195-03,3,2,1,3,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,303.201045290998,10,9
2402283,54,56,1-54-2024-056-09,9,1,1,3,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,118.814051563781,9,9
2404498,57,126,1-57-2024-126-03,3,1,1,3,1,9995.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,0,7,74.219148340463,1,9
2405308,57,163,1-57-2024-163-06,6,1,1,3,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,2,7,296.521375709091,1,9
2400549,59,21,1-59-2024-021-04,4,1,1,3,1,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9995.00,0,7,7,0,9995.00,9995.00,1,0,9995.00,9995.00,9995.00,9997.00,9995.00,7,5,7,105.325659634205,6,9
2400994,12,20,1-12-2024-020-04,4,2,1,6,1,9995.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,4,7,243.899610339648,9,9
2401246,19,20,1-19-2024-020-06,6,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,291.019579336203,9,9
2401163,25,28,1-25-2024-028-03,3,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,55.0753664902521,2,9
2401490,81,29,1-81-2024-029-04,4,1,1,1,1,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9995.00,0,7,7,0,9995.00,9995.00,1,0,9995.00,9995.00,9995.00,9997.00,9995.00,7,5,7,3479.41374986717,8,9
2403036,81,68,1-81-2024-068-05,5,1,1,1,1,14.00,19.00,7,8,9997.00,9997.00,8.50,8.50,13.50,0,7,7,1,9997.00,9997.00,7,8,20.50,20.50,8.50,8.50,13.50,0,4,7,46.9373959605953,8,9
