CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
2405220,66,102,1-66-2024-102-04,4,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,4,1,1,1,137.356870033823,6,9
2401976,32,73,1-32-2024-073-09,9,2,2,1,23,4,4,9998,99999999,1,9999999999,1,2,1,2,1,9,9,5,3,1,3,9,9,1,2,3,1,1,1,3147.76349296009,7,9
2401978,26,51,1-26-2024-051-02,2,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,21.1529220587709,10,9
2401997,24,48,1-24-2024-048-03,3,1,2,1,23,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,32.3570562743358,1,9
2400960,57,19,1-57-2024-019-NM1,21,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15.0398443849994,1,9
2402029,62,50,1-62-2024-050-05,5,1,2,1,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,1,9,9,9,9,5,1,1,1,183.403138311325,7,9
2406042,30,204,1-30-2024-204-09,9,1,3,1,21,2,2,9998,99999999,1,9999999999,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,11034.5007758715,10,9
2406036,48,194,1-48-2024-194-02,2,3,3,1,21,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,74.210049573419,12,9
2406038,48,196,1-48-2024-196-04,4,1,2,1,22,13,98,9998,99999999,2,9999999999,1,2,1,2,1,1,1,5,3,1,1,4,0,1,2,2,1,1,1,256.245639765987,12,9
2406119,62,181,1-62-2024-181-02,2,3,2,1,21,13,23,5026,1766778,5,12/09/2013,2,1,2,2,1,1,1,9,9,9,9,9,9,1,9,9,1,1,0,143.712548638116,7,9
2406119,62,181,1-62-2024-181-02,2,3,3,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,0,143.712548638116,7,9
2406134,14,125,1-14-2024-125-04,4,1,2,1,23,13,23,6031,2184500,6,06/03/2024,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,9,1,9,9,347.585660015654,8,9
2406135,14,126,1-14-2024-126-04,4,2,4,1,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,347.585660015654,8,9
2406135,14,126,1-14-2024-126-04,4,2,3,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,347.585660015654,8,9
2402018,59,65,1-59-2024-065-04,4,2,2,1,21,13,23,9998,99999999,2,9999999999,1,2,1,2,1,1,1,8,3,1,3,4,9,1,2,4,1,9,9,305.300892260132,6,9
2402018,59,65,1-59-2024-065-04,4,2,3,2,23,10,16,9998,99999999,99,9999999999,2,2,2,2,1,1,1,8,1,1,3,3,9,1,1,4,1,9,9,305.300892260132,6,9
2402040,73,63,1-73-2024-063-03,3,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23.5881329232141,3,9
2402026,18,70,1-18-2024-070-06,6,2,2,1,23,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,241.447305056267,6,9
