CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2400459,23,8,1-23-2024-008-06,6,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,248.232832399594,5,9
2400459,23,8,1-23-2024-008-06,6,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,248.232832399594,5,9
2402082,24,49,1-24-2024-049-05,5,1,RF,999,Unknown,UNKNOWN,9999999999999,99,8,9,29.2580280079194,1,9
2404475,27,138,1-27-2024-138-04,4,1,RF,89,SOLUS TA51A,P225/55R18,1K22LYATC4223,7,0,1,41.3687632563113,3,9
2404475,27,138,1-27-2024-138-04,4,1,LF,89,SOLUS TA51A,P225/55R18,1K22LYATC4023,7,0,1,41.3687632563113,3,9
2404475,27,138,1-27-2024-138-04,4,1,LR,89,SOLUS TA51A,P225/55R18,1K22LYATC,8,0,1,41.3687632563113,3,9
2404475,27,138,1-27-2024-138-04,4,1,RR,89,SOLUS TA51A,P225/55R18,1K22LYATC4023,7,0,1,41.3687632563113,3,9
2405400,48,175,1-48-2024-175-07,7,1,RR,89,Ecsta 4 x,P195/55R16,1K2MAYA9W2123,8,0,1,201.064995108591,12,9
2405400,48,175,1-48-2024-175-07,7,1,RF,89,Ecsta 4 x,P195/55R16,1K2MAYA9W2023,8,0,1,201.064995108591,12,9
2403124,26,91,1-26-2024-091-03,3,2,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,146.032571117139,10,9
