CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2405105,27,160,1-27-2024-160-NM2,22,1,1,1002,35.0197990149152,3,9
2405105,27,160,1-27-2024-160-NM2,22,1,1,1006,35.0197990149152,3,9
2405134,81,130,1-81-2024-130-NM1,21,1,1,1006,32.358742659987,8,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1005,142.962485684357,3,9
2405941,11,180,1-11-2024-180-NM2,22,1,1,1007,2346.62012709175,8,9
2404179,60,59,1-60-2024-059-NM1,21,1,1,1005,43.22330010499,8,9
2404267,15,171,1-15-2024-171-NM2,22,1,1,1004,27.5756522213656,1,9
2404267,15,171,1-15-2024-171-NM2,22,1,1,1005,27.5756522213656,1,9
2405604,29,93,1-29-2024-093-NM1,21,1,1,1002,118.587450301321,2,9
2405677,69,143,1-69-2024-143-NM1,21,1,1,1004,7.66811372485411,8,9
2404592,11,140,1-11-2024-140-NM1,21,1,1,1001,37.1071357763572,8,9
2404569,18,121,1-18-2024-121-NM2,22,1,1,1005,142.413843051628,6,9
2404569,18,121,1-18-2024-121-NM2,22,1,1,1004,142.413843051628,6,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,1004,62.2469031035836,4,9
2405998,20,141,1-20-2024-141-NM1,21,1,1,1001,35.0220589332575,11,9
2404422,33,84,1-33-2024-084-NM1,21,1,1,1005,41.0900179301514,12,9
2404422,33,84,1-33-2024-084-NM1,21,1,1,1004,41.0900179301514,12,9
2404825,24,135,1-24-2024-135-NM2,22,1,1,1006,43.9956216097119,1,9
2404828,25,128,1-25-2024-128-NM1,21,1,1,1006,46.3961698932894,2,9
2404886,22,148,1-22-2024-148-NM2,22,1,1,1007,35.1496027167127,12,9
2405594,27,174,1-27-2024-174-NM2,22,1,3,3039,41.6395308351094,3,9
2405870,81,152,1-81-2024-152-NM1,21,1,3,3038,20.2135532866767,8,9
2405870,81,152,1-81-2024-152-NM1,21,1,3,3039,20.2135532866767,8,9
2405444,17,180,1-17-2024-180-NM2,22,1,3,3038,245.767819800364,4,9
2406239,57,194,1-57-2024-194-NM1,21,1,3,3036,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,3,3008,19.2604769426058,1,9
2406001,81,158,1-81-2024-158-NM2,22,2,3,3034,1666.588526805,8,9
2405722,30,193,1-30-2024-193-NM2,22,1,3,3038,2186.42290292287,10,9
2406281,52,63,1-52-2024-063-NM2,22,1,3,3038,99.7929570162416,12,9
2406323,14,132,1-14-2024-132-NM2,22,1,3,3038,464.271661627575,8,9
2405961,32,156,1-32-2024-156-NM1,21,1,3,3038,64.9248984713776,7,9
2405987,15,233,1-15-2024-233-NM2,22,1,3,3038,32.4789185953742,1,9
2406368,20,150,1-20-2024-150-NM2,22,1,3,3038,450.978616278898,11,9
2406292,22,191,1-22-2024-191-NM2,22,1,3,3010,24.4305122731702,12,9
2406376,20,151,1-20-2024-151-NM2,22,1,3,3039,1093.0659222961,11,9
2400611,24,13,1-24-2024-013-NM2,22,1,3,3060,147.143075961834,1,9
