CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SPEEDPRE,SPEEDPREACC,VEHHDG,CONTPLANE,SPEEDIMP,SPEEDIMPACC,SPEEDIMPSRC,FRPDISTANCE,DRIFATIGUE,VEHLIGHTS,LIGHTSBEAM,PROPULSION,HOODMAT,HOODOEM,HOODLENGTH,HOODWIDTHFORW,HOODWIDTHMID,HOODWIDTHREAR,HOODDEPAVAIL,HOODDEPACT,HOODBAGAVAIL,HOODBAGDEPLY,FRNTCONTACT,FRNTCRUSH,FRNTWSCONTACT,FRNTBUMPCOVER,FRNTBUMPREINF,FRNTEAD,FRNTBUMPBTMHT,FRNTBUMPTOPHT,FRNTBUMPLEAD,FRNTGRHOODFORW,FRNTGRTRANS,FRNTGRHOODREAR,FRNTGRWSBASE,FRNTGRWSTOP,FRNTGRHEADCONT,FRNTPROFILE,SIDECONTACT,SIDEGRNDCLEAR,SIDEBUMPBTMHT,SIDEBUMPTOPHT,SIDEWHEELCNTR,SIDEWHEELTOP,SIDEWHEELWELL,SIDEAPILLBTM,SIDEAPILLTOP,SIDEMIRRORTOP,SIDEAPILLWSBTM,SIDEAPILLWSTOP,SIDEMIRRORCNTR,SIDEGRTRANS,SIDEGRTOHOOD,SIDEGRTOHOODCNTR,SIDEGRHEADCONT,VISIONOBSCUREDBY,DISTRACTEDBY,DRIRELATEDFACT,ROADWAYRELFACT,WEATHERRELFACT,OTHERENVFACT,TRAFINTERRUPTIONFACT,DRILLNESS,DETECTDIST,DETECTDISTACC,CALCREVEAL,CALCREVEALACC,CASEWGT,PSUSTRAT,VERSION
2402161,62,56,1-62-2024-056-NM1,21,1,80,3,270,1,80,3,1,999.9,2,0,0,2,3,1,67,117,127,144,0,0,0,0,1,2,2,1,9,9,42,54,999,72,75,999,999,999,996,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,110,4,5,3,60.6701620601723,7,9
2402195,79,44,1-79-2024-044-NM2,22,1,32,3,180,2,32,3,1,999.9,2,0,0,1,3,1,94,124,154,162,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,25,25,81,35,73,82,40,87,125,7,90,999,123,95,95,889,1,0,0,1,0,0,0,0,30,4,3.9,8,110.555038236303,8,9
2402210,25,53,1-25-2024-053-NM2,22,1,48,3,0,1,48,3,1,999.9,2,3,99,1,9,9,999,999,999,999,0,0,0,0,1,9,1,1,9,9,999,999,999,999,999,999,999,999,999,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,1,0,0,0,0,0,96,5,6.9,7,202.399293704263,2,9
2402198,11,55,1-11-2024-055-NM1,21,1,138,3,195,2,59,3,1,26,2,99,99,9,9,9,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,996,0,0,0,0,0,0,0,0,888,8,88,88,37.1071357763572,8,9
2402228,27,70,1-27-2024-070-NM2,22,1,32,3,105,1,24,3,1,2.1,2,3,1,1,4,1,84,132,145,140,0,0,0,0,1,2,0,1,1,2,42,62,12,102,102,186,194,266,150,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,0,0,0,0,0,7,1,0.7,0,30.6673615919684,3,9
2402256,21,45,1-21-2024-045-NM1,21,1,109,2,280,1,109,2,3,999.9,2,3,1,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,1,0,0,0,1,0,6,1,0.2,0,17.4486412062215,11,9
2402254,26,62,1-26-2024-062-NM1,21,1,97,3,170,1,97,3,3,999.9,9,3,3,1,4,9,91,96,153,143,0,0,0,0,1,4,2,1,1,1,20,50,10,100,88,192,94,283,256,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,9,1,9,0,0,0,0,105,4,7.1,0,25.7030205312635,10,9
2402260,26,63,1-26-2024-063-NM2,22,1,20,2,260,1,20,2,3,999.9,9,99,99,1,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,9,0,9,0,9,9,9,105,4,4.2,0,962.578555188656,10,9
2402243,15,87,1-15-2024-087-NM2,22,1,999,9,265,3,999,9,0,999.9,9,99,99,1,9,9,999,999,999,999,9,9,9,9,9,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,1,1,0,0,0,999,9,99,99,35.7446223566179,1,9
2402267,31,43,1-31-2024-043-NM2,22,1,999,0,60,1,999,0,0,999.9,9,99,99,9,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,9,0,0,0,0,0,9,120,5,99,99,197.377933176122,6,9
2404569,18,121,1-18-2024-121-NM2,22,1,999,0,305,1,999,0,0,999.9,9,99,99,9,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,9,1,0,0,9,9,9,999,9,99,99,142.413843051628,6,9
2404902,57,145,1-57-2024-145-NM2,22,1,999,0,320,2,999,0,0,999.9,9,99,99,1,9,9,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,889,9,0,1,0,0,9,9,9,999,9,99,99,184.840196410829,1,9
2404906,77,155,1-77-2024-155-NM1,21,1,56,3,130,1,56,3,1,999.9,9,3,1,1,4,9,87,86,126,145,0,0,0,0,1,1,2,1,1,1,42,54,0,76,65,163,168,260,214,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,1,0,0,0,0,0,0,83,5,5.3,0,113.21347390618,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,89,3,100,1,89,3,3,999.9,2,3,1,1,3,1,80,90,146,150,0,0,0,0,1,3,2,1,1,2,18,48,6,64,80,145,156,255,212,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,1,0,0,0,0,0,0,100,5,4.2,4,263.286057296844,9,9
2404933,33,96,1-33-2024-096-NM2,22,1,999,0,250,3,20,4,3,999.9,9,99,99,1,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,9,9,0,0,1,0,9,999,9,99,99,151.096542186302,12,9
2404927,54,110,1-54-2024-110-NM1,21,1,0,1,140,2,0,0,0,51.2,7,0,0,1,9,9,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,7,7,7,7,7,7,7,7,888,8,88,88,158.05614243884,9,9
2402288,81,46,1-81-2024-046-NM2,22,1,16,3,120,1,16,3,1,999.9,2,0,0,1,3,1,999,999,999,999,0,0,0,0,1,2,0,1,1,1,999,999,999,999,999,999,999,999,889,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,1,0,0,0,0,10,2,3.8,10,2408.08347527868,8,9
2402289,81,47,1-81-2024-047-NM1,21,1,0,0,85,1,0,0,0,999.9,7,99,99,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,7,7,7,7,7,7,7,7,888,8,88,88,30.4851567966787,8,9
2402376,15,92,1-15-2024-092-NM2,22,1,6,2,180,2,6,2,1,999.9,1,0,0,1,3,1,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,2,0,1.9,4,172.627983004139,1,9
2402420,48,79,1-48-2024-079-NM1,21,1,56,3,340,1,56,3,1,999.9,1,0,0,1,4,1,99,105,181,148,0,0,0,0,1,1,0,1,2,1,53,64,0,95,91,196,194,296,889,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,1,1,0,0,0,0,1,6,1,0.4,0,85.8427679861707,12,9
2402434,30,83,1-30-2024-083-NM2,22,1,84,4,140,1,84,4,1,999.9,2,3,1,1,9,9,102,156,156,156,0,0,0,0,1,2,2,1,9,9,38,58,12,98,101,200,211,276,232,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,1,0,0,0,0,0,0,103,5,4.2,5,361.666104097377,10,9
2402502,32,90,1-32-2024-090-NM1,21,1,113,3,90,1,113,3,3,37,2,99,99,1,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,9,0,0,1,0,105,4,3.4,2,20.533614820255,7,9
2402515,22,71,1-22-2024-071-NM2,22,1,16,3,50,1,16,3,1,999.9,2,3,1,1,9,9,999,999,999,999,0,0,0,0,1,9,0,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,1,0,1,0,0,0,15,2,5.3,10,85.2845477308788,12,9
2402535,24,69,1-24-2024-069-NM1,21,1,89,3,110,1,89,3,1,93,2,3,1,1,4,1,999,999,999,999,0,0,0,0,1,3,0,1,1,9,999,999,999,999,999,999,999,999,889,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,1,1,0,0,0,1,0,105,4,4.4,4,23.1726143074507,1,9
