PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-4.8,38.57897478385082,3.4237752275874955,10.212485720022773,3.551452038038537e-06,0.0,0.0,1700.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.7,19.808803914492543,-2.458928901147942,-7.752099993306826,4.143360711044983e-06,0.0,0.0,1700.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.6,28.0,6.106226635438361e-16,2.220446049250313e-15,-4.235164736271502e-22,0.0,0.0,900.0,-6.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.5,47.3911960855074,5.978928901147922,18.55209999330678,-4.143360711044962e-06,0.0,0.0,900.0,-6.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.4,62.22102521614921,10.656224772412505,32.98751427997723,-3.5514520380385795e-06,0.0,0.0,900.0,-6.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.3,57.570291306417936,9.460958712645802,29.170142866704527,5.919086730064222e-06,0.0,0.0,1700.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.2,37.88972826604487,3.5883967816145192,10.917357166761377,1.4797716825160601e-05,0.0,0.0,1700.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.1,27.0,-8.881784197001252e-16,-3.552713678800501e-15,0.0,0.0,0.0,900.0,4.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-4.0,40.854473463149205,3.4534013976856794,11.23875707305699,-4.320933312946878e-05,0.0,0.0,900.0,4.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.9,60.568644332507446,8.888105526421109,28.53134278638657,-4.38012418024752e-05,0.0,0.0,900.0,4.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.8,59.72510350599998,9.093646749453661,29.01751441384053,7.931576218286123e-05,0.0,0.0,1800.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.7,38.967391810134394,3.864483843750815,12.211100327965003,0.00020302467484120343,0.0,0.0,1800.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.6,26.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,800.0,18.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.5,39.963432398581986,2.3686906664516925,7.9424990294913975,-0.0006007873031015209,0.0,0.0,800.0,18.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.4,61.03599543895512,6.897252597483001,22.38728472943463,-0.0006096659331966158,0.0,0.0,800.0,18.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.3,60.89315777758228,7.522095779705562,23.219058927063116,0.001104501583829993,0.0,0.0,1800.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.2,39.67775707583644,3.8183770308968383,9.606047424748468,0.0028275477309516865,0.0,0.0,1800.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.1,25.999999999999996,0.9999999999999996,1.7763568394002505e-15,-8.673617379884035e-19,0.0,0.0,800.0,40.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-3.0,39.74558011699828,2.78826793263795,7.444229339822329,-0.008367812910291827,0.0,0.0,800.0,40.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.9,60.951291812863936,5.953430838340811,19.9946434256979,-0.008491521822950142,0.0,0.0,800.0,40.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.8,60.93910538015244,5.735694166424254,20.20931056504334,0.015383706411437041,0.0,0.0,1600.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.7,39.72120725157544,2.152794588804858,7.873563618513288,0.039382643558482415,0.0,0.0,1600.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.6,26.000000000000004,4.440892098500626e-16,2.6645352591003757e-15,0.0,0.0,0.0,900.0,64.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.5,39.73868923939355,2.5710603904795692,8.404711728021079,-0.11654859344098399,0.0,0.0,900.0,64.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.4,60.95408994113946,6.322779139288304,21.121723230335768,-0.11827163958810544,0.0,0.0,900.0,64.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.3,60.92631754455226,6.22562255023407,20.991288983543875,0.22226738817628866,0.0,0.0,1500.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.2,39.683144446219295,2.3767472123711264,8.143843234437368,0.7645294620878017,0.0,0.0,1500.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.1,26.0,0.0,0.0,0.9999999999999999,0.0,0.0,1000.0,88.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-2.0,39.86006923451108,2.7025775340759637,8.653734852472548,0.608687504736517,0.0,0.0,1000.0,88.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.9,61.07796736308815,6.733477111695371,21.88548179900264,0.08868856758947147,0.0,0.0,1000.0,88.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.8,60.69334024357975,6.735021536852815,22.148735204571214,0.11235972805658687,0.0,0.0,1500.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.7,38.89081499549426,2.705666384390856,9.180241663609705,0.6560298256707475,0.0,0.0,1500.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.6,24.999999999999996,0.0,-8.881784197001252e-16,1.0000000000000002,0.0,0.0,1100.0,130.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.5,39.3342800437612,2.3690250865838736,6.635576206594403,0.6461736597522288,0.0,0.0,1100.0,130.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.4,61.07345314209423,6.217900424446828,18.139021955700947,0.10391158584071394,0.0,0.0,1100.0,130.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.3,60.42044586556399,6.336678965705351,18.49900388045308,0.10276880461592575,0.0,0.0,1200.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.2,37.62826549070072,2.6065821691009234,7.3555400560986826,0.6438880973026522,0.0,0.0,1200.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.1,22.999999999999996,0.0,1.7763568394002505e-15,1.0,0.0,0.0,1000.0,177.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-1.0,37.61185137814533,2.015773678098215,7.12433203984897,0.6617437317946915,0.0,0.0,1000.0,177.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.9,60.406376626230774,5.373128830560169,18.30082558081046,0.11807363418053146,0.0,0.0,1000.0,177.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.8,61.06490187431624,5.306483983022129,18.469319121771964,0.07840353656637125,0.0,0.0,1200.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.7,38.528901874316226,1.8824839830221245,7.461319121771956,0.5824035365663718,0.0,0.0,1200.0,-1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.6,21.000000000000007,-4.440892098500626e-16,0.0,1.0000000000000002,0.0,0.0,1000.0,198.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.5,29.791639250273505,3.2278064067911476,7.025072351291207,0.8422385853734518,0.0,0.0,1000.0,198.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.4,53.57581962513676,8.973903203395572,21.752536175645602,0.3011192926867262,0.0,0.0,1000.0,198.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.3,72.86418037486325,13.106096796604424,32.96746382435438,-0.2611192926867254,0.0,0.0,1300.0,1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.2,68.16836074972647,11.492193593208848,29.454927648708768,-0.48223858537345105,0.0,0.0,1300.0,1.5,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-0.1,20.0,0.0,0.0,0.0,0.0,0.0,900.0,222.0,24487,1,1.0,6.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2022,CISS_2022_24487_V1,CISS,True
-5.0,126.0,,21.0,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.9,126.84490553074545,,43.4193720371006,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.8,127.16654070766062,,56.13249604946757,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.7,127.06572311920304,,60.73593404328411,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.6,126.64327035383029,,58.82624802473376,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.5,126.0,,52.0,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.4,125.2367296461697,,41.85375197526627,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.3,124.45427688079698,,29.984065956715895,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.2,123.7534592923394,,17.98750395053249,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.1,123.23509446925455,,7.460627962899325,0.0,,,2880.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-4.0,123.0,,4.440892098500626e-15,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.9,123.11217588457576,,-3.2823799381655743,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.8,123.48835176915152,,-3.212759876331154,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.7,124.0084397114394,,-1.1019498454139518,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.6,124.5523517691515,,1.7392401236688406,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.5,125.0,,3.999999999999999,0.0,,,2624.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.4,125.24256681552733,,4.683767777396083,0.0,,,2624.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.3,125.21631604259709,,4.050973548608725,0.0,,,2624.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.2,124.86878186190316,,2.6762954311233282,0.0,,,2624.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.1,124.14749845413951,,1.1344115424252852,0.0,,,2624.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-3.0,123.0,,4.440892098500626e-16,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.9,121.42955685331503,,-0.31669117141875647,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.8,119.66238406046034,,-0.06313431810374315,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.7,117.98043284094814,,0.34876812092064513,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.6,116.66565441429064,,0.507113706630024,0.0,,,2240.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.5,116.0,,0.0,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.4,116.15920577121265,,-1.3690030917210596,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.3,116.89414771556167,,-2.934436276193751,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.2,117.84948677430437,,-3.8153679148059094,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.1,118.66988388869805,,-3.13086636894538,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-2.0,118.99999999999999,,1.7763568394002505e-15,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.9,118.56562006183441,,6.032703538302991,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.8,117.41702507729302,,13.720879422878733,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.7,115.68562006183441,,21.392703538302992,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.6,113.50281003091722,,27.376351769151483,0.0,,,2112.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.5,110.99999999999999,,30.0,0.0,,,1984.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
-1.4,108.32231398144968,,28.118188938509107,0.0,,,1984.0,,24494,1,0.0,1.0,72.0,-71.0,13.0,2.0,2.0,2.0,2016,2022,CISS_2022_24494_V1,CISS,True
